,name,price,location,rating,important_info,specifications,link
0,Ferienwohnung Selinda,$905,"Niederried bei Interlaken, Canton of Bern"," ""Excellent""",empty,430 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/fe0d5566d6d65495abf56fa45eb25ab6?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
1,Cà dal Bosc e Cà sgrüscia,$776,"Maggia, Ticino"," ""Very good"" ",empty,540 ft² House ∙ 1 bedroom ∙ 2 guests,/rental/682734f558206c9b3e3e38955a47c701?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
2,"Maisonette GENTIANA ""ein nest für 2""",$856,"Grächen, Valais"," ""Outstanding"" ", Free cancellation ,590 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/f14d7c729926e39b5499846fdf1d960e?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
3,Gîtes gorevirat,$658,"Corcelles, Canton of Bern"," ""Excellent""", Free cancellation In high demand ,750 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/4e33b2aa79201ed577934b54642f9b57?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
4,Young Backpackers Homestay,$944,"Kriens, Lucerne"," ""Outstanding"" ", Free cancellation Hot tub ,Hostel,/rental/d2b73eeaa9fc764ee0314730a7258d30?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
5,Alpensonne,$701,"Reckingen-Gluringen, Valais"," ""Excellent""", Free cancellation ,780 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/623483d2bf9d8d8376612243aad30ee6?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
6,Jasmin,$399,"Charmey, Canton of Fribourg"," ""Very good"" ",empty,430 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/97763aad1f49b6d43152147e721744cb?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
7,Les NIS,$375,"Bourg-Saint-Pierre, Valais"," ""Very good"" ", Free cancellation Hot tub ,810 ft² Apartment ∙ 2 bedrooms ∙ 5 guests,/rental/c14de534ea57d94f1cbcda45c295064d?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
8,Lovely Guesthouse with Lakeview,$953,"Herrliberg, Zurich"," ""Outstanding"" ",empty,290 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/800fb0211a9a36861d02046bb7d27675?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
9,Chalet Lombardie,$656,"Nendaz, Valais"," ""Outstanding"" ",empty,480 ft² House ∙ 1 bedroom ∙ 3 guests,/rental/2c8ed77ce078d77c798248342014efa9?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
10,Le studio du moléson,"$1,035","Gruyères, Canton of Fribourg"," ""Excellent""", Free cancellation Hot tub ,320 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/85ff0e58b257d036b7758b7ec6341d00?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
11,Alp Apartments,$646,"Engelberg, Canton of Obwalden"," ""Outstanding"" ", Free cancellation ,220 ft² Apartment ∙ 2 guests,/rental/35bcf3b134391809b072e9931f8da1a9?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
12,Ferienstudio Familie Fässler-Dörig,$485,"Appenzell District, Appenzell Innerrhoden"," ""Excellent""", Free cancellation In high demand ,380 ft² Chalet ∙ 2 guests,/rental/match56e199dc09778?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
13,Casa Belvedere,$656,"Rovio, Ticino"," ""Outstanding"" ", Free cancellation ,430 ft² Apartment ∙ 2 guests,/rental/9705eba7495ee11ba5c2c666b7b695fd?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
14,New renovated flat in protected chalet,$866,"Interlaken, Canton of Bern"," ""Excellent""", Free cancellation Ocean view ,990 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/cb801723b6a4f3edaa9d592cc7ba195e?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
15,"Familien - Apartment, Auszeit in den Bergen",$776,"Glarus Süd, Canton of Glarus"," ""Very good"" ", Free cancellation ,700 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/e79d8c047d9935469769b849d0052dab?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
16,La vecchia Birreria,$706,"Bregaglia, Grisons"," ""Excellent""", Free cancellation ,970 ft² House ∙ 3 bedrooms ∙ 6 guests,/rental/ceef6f59cfc89390423dc2029c27575c?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
17,Les chambres et Roulottes des Noisetiers,$944,"Ormont-Dessous, Vaud"," ""Outstanding"" ", Free cancellation Hot tub ,Chambre d'Hôtes,/rental/99974c1b28647f69040cbb0fe4164cc4?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
18,EMA House Serviced Apartments Superior Unterstrass,$983,"Zürich, Zurich"," ""Outstanding"" ", Free cancellation ,420 ft² Apartment ∙ 2 guests,/rental/1c09ace5807e614ecd3c119ac1ffc27f?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
19,Studio Brigerbad,$492,"Brig, Valais"," ""Very good"" ",Pool ,270 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/b232ecf30f552bf03df249d502842a1c?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
20,"Apartment 2,5 Zimmer im Ferienhaus Damian",$485,"Glarus Süd, Canton of Glarus"," ""Very good"" ", Free cancellation ,540 ft² Apartment ∙ 1 bedroom ∙ 2 guests,/rental/413c475ad73fd586a0cff4bafb364967?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
21,Ferienwohnung Stoffel,$528,"Avers, Grisons"," ""Outstanding"" ", Free cancellation ,640 ft² Apartment ∙ 1 bedroom ∙ 5 guests,/rental/fa56beec441a5a9690c1fcb599b1a632?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
22,Ferien im Paradies,$711,"Brienzwiler, Canton of Bern"," ""Excellent""", Free cancellation ,810 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/ae7e464bed181fde6a74becc9b2248e1?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
23,Cosy Studio In Lausanne Center,$320,"Lausanne, Vaud"," ""Outstanding"" ",empty,Apartment ∙ 1 bedroom ∙ 2 guests,/rental/8a42a2ce1fd8597cbc0073ea915ea98a?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
24,Appartamento Chesa Polaschin,$927,"Silvaplana, Grisons"," ""Outstanding"" ",empty,810 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/914eba8f567afb2a8b58b09e4b8872e8?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
25,Loft NAP,$647,"Bonvillars, Vaud"," ""Outstanding"" ", Free cancellation ,Chambre d'Hôtes,/rental/8fb62f6e6a6b88a0f46c314bf4c432e1?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
26,Joline private guest apartment feel like home,$996,"Nidau, Canton of Bern",empty, Free cancellation ,750 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/84197e187dce321f69bbcf5eb24d2893?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
27,Haus Corina,$440,"Klosters-Serneus, Grisons"," ""Outstanding"" ", Free cancellation ,660 ft² Apartment ∙ 1 bedroom ∙ 3 guests,/rental/match56e192619ae61?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
28,Appartement Torgon,$490,"Vionnaz, Valais"," ""Very good"" ",empty,430 ft² Apartment ∙ 1 bedroom ∙ 3 guests,/rental/00bbc44a4f475085a7fb92414e5ae74d?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
29,Apartment Astrid,$815,"Münster-Geschinen, Valais"," ""Outstanding"" ", Free cancellation ,810 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/1ddb1867c0ff62ccdfa8c678842fbb84?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
30,Garni Elena,"$1,196","Losone, Ticino"," ""Very good"" ", Free cancellation Pool ,Chambre d'Hôtes,/rental/59c6ff3f75dff46fd3c3c865ed7b4b8c?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
31,Börtji,$841,"Davos, Grisons"," ""Excellent""",empty,1070 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/ae51471996a083214ceab9e13c96c575?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
32,Ferienwohnung im Grünen,$668,"Grindelwald, Canton of Bern"," ""Very good"" ",empty,650 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/match56e19024a9f54?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
33,Haus am Golfplatz,$582,"Klosters-Serneus, Grisons",empty,empty,860 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/f7c9366632122a2c6a3e317ef1ddc9c4?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
34,Chalet Z' Flesche,$783,"Zermatt, Valais"," ""Outstanding"" ",empty,540 ft² Chalet ∙ 2 bedrooms ∙ 4 guests,/rental/match56e17b6dbe9d1?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
35,Chalet Wiesehockli,$970,"Quarten, St. Gallen"," ""Very good"" ",Hot tub ,320 ft² House ∙ 2 bedrooms ∙ 4 guests,/rental/845a5d94df6b744f7bc5ca267f8ecb0d?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
36,Les Dents-du-Midi,$738,"Monthey, Valais"," ""Excellent""",empty,910 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/9a76e7bea6d36344b3731ebd974fcf5d?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
37,Ferienwohnung Aviez Savognin,"$1,028","Savognin, Grisons"," ""Excellent""",empty,320 ft² Apartment ∙ 1 bedroom ∙ 5 guests,/rental/48b22485ca72905a266575f45bda4d28?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
38,Haus Cristal,$353,"Leukerbad, Valais"," ""Outstanding"" ", Free cancellation ,190 ft² Apartment ∙ 2 guests,/rental/cfc4b09584f34326f06c60ab091d46f9?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
39,Chalet Schuler,"$1,073","Zermatt, Valais"," ""Excellent""", Free cancellation ,320 ft² House ∙ 1 bedroom ∙ 2 guests,/rental/eb3c8ade786d8302c7255f748e474fa4?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
40,Ferien am See,$576,"Erlach, Canton of Bern"," ""Outstanding"" ", Free cancellation ,230 ft² House ∙ 2 bedrooms ∙ 4 guests,/rental/5a2a3fe091a94b4e2703f706a73ad2f4?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
41,Tgèsa Dutg Grond,$582,"Tujetsch, Grisons"," ""Outstanding"" ",empty,510 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/4177127d466b6188004f44b3b753c870?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
42,Chalet Adler,$518,"Grächen, Valais"," ""Outstanding"" ", Free cancellation ,1610 ft² Apartment ∙ 3 bedrooms ∙ 5 guests,/rental/1d067ff0bea83a929586b100ccd28f00?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
43,Casa Rosmarino,"$1,054","Gordola, Ticino"," ""Outstanding"" ",empty,750 ft² House ∙ 2 bedrooms ∙ 4 guests,/rental/match56e1849c6771c?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
44,Appartamento Seaesta Isole,$873,"Brissago, Ticino"," ""Outstanding"" ", Free cancellation   Beach access ,540 ft² Apartment ∙ 1 bedroom ∙ 4 guests,/rental/e7a899159bb0276c3d094e99177f2021?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
45,Chalet Le Muguet,"$1,164","Leytron, Valais"," ""Very good"" ",empty,650 ft² House ∙ 2 bedrooms ∙ 4 guests,/rental/ad1d3ceebac55542d94dcca825bba3d4?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
46,Chalet Rosemarie,$808,"Ringgenberg, Canton of Bern"," ""Outstanding"" ", Free cancellation ,810 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/8eaeef980a16c8293ee4e04e0a17a0ef?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
47,Chalet Victoria,$348,"Saint Niklaus, Valais"," ""Very good"" ",empty,650 ft² Apartment ∙ 1 bedroom ∙ 3 guests,/rental/3b5c9de7450debfa0df50122decd9783?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
48,Casa Valtiarm,$375,"Lumnezia, Grisons"," ""Outstanding"" ", Free cancellation ,430 ft² Apartment ∙ 1 bedroom ∙ 4 guests,/rental/match5660072d7f069?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
49,Chesa Fuolla Rosa - Celerina,$789,"Celerina/Schlarigna, Grisons"," ""Very good"" ",empty,860 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/78cbf17f634073ca3e4f1166845bf436?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
50,Grosshus Vals,$873,"Vals, Grisons"," ""Outstanding"" ",empty,730 ft² Apartment ∙ 2 bedrooms ∙ 5 guests,/rental/match55ec747cc2b8a?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
51,Bim See,"$1,035","Bettmeralp, Valais"," ""Excellent""",empty,970 ft² Apartment ∙ 3 bedrooms ∙ 6 guests,/rental/d4561c833cdc269e0878a69684bb5566?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
52,Monte Rosa,$647,"Täsch, Valais"," ""Outstanding"" ", Free cancellation Pool ,320 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,/rental/0323800ec693cd9592862affac320bb7?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
53,Cozy apartment in the green,$927,"Minusio, Ticino"," ""Outstanding"" ", Free cancellation ,650 ft² Apartment ∙ 1 bedroom ∙ 3 guests,/rental/9d3b3b80873490b9141a3ed0fbba997f?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
54,FeWo Fernsicht Crystal,$711,"Adelboden, Canton of Bern",empty,empty,540 ft² Apartment ∙ 2 bedrooms ∙ 5 guests,/rental/c3adb0e27b65d204fa39aa44f73e246f?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
55,Aegerta Alte Schreinerei,$976,"Tschiertschen, Grisons"," ""Outstanding"" ", Free cancellation ,750 ft² House ∙ 2 bedrooms ∙ 4 guests,/rental/6f9e79493e462b2421b0ea4c685b9765?duration=6&location=5460aea910151&arrival=2021-05-31&persons=2&adults=2&bedrooms=1&maxPricePerNight=208USD&pricetype=totalPrice&searchId=a0e9c18804f87c21
